method,missingpct,domain,recallat1
than,0.4241540256709452,bugadacargnel.com,0.684
than,0.6378551420568227,cbsc.ca,1.000
than,0.7679897281304081,cineuropa.mobi,0.945
than,0.9769499672274415,creationwiki.org,1.000
than,0.6977418186209395,eu2007.de,0.455
than,0.8661647172508203,eu.blizzard.com,0.100
than,0.44890414576181675,forcesavenir.qc.ca,0.500
than,0.9356225321137602,galacticchannelings.com,1.000
than,0.4945945945945946,golftrotter.com,1.000
than,0.7150420429772657,iiz-dvv.de,0.985
than,0.8539696833258292,ironmaidencommentary.com,0.537
than,0.819243013795543,kicktionary.de,1.000
than,0.4931462140992167,kustu.com,0.308
than,0.49161126938904715,manchesterproducts.com,0.800
than,0.8224222585924713,minelinks.com,1.000
than,0.929384965831435,pawpeds.com,1.000
than,0.5744934445768772,rehazenter.lu,0.812
than,0.5026572187776793,santabarbara-online.com,1.000
than,0.8133333333333334,schackportalen.nu,1.000
than,0.502262443438914,tsb.gc.ca,0.970
than,0.632263356981178,virtualhospice.ca,0.717
than,0.5314018043025677,www.acted.org,0.952
than,0.8480954566314823,www.antennas.biz,0.933
than,0.49733851244425265,www.artsvivants.ca,0.917
than,0.8414779499404053,www.bonnke.net,1.000
than,0.4241540256709452,www.bugadacargnel.com,0.286
than,0.8563877816195741,www.cgfmanet.org,1.000
than,0.7395918367346939,www.cyberspaceministry.org,1.000
than,0.724806055584846,www.dakar.com,0.911
than,0.5685306646832105,www.dfo-mpo.gc.ca,0.990
than,0.43971810625225877,www.ec.gc.ca,0.038
than,0.5089467723669309,www.eohu.ca,1.000
than,0.5013547766803601,www.eu2005.lu,0.000
than,0.6974730098469569,www.eu2007.de,0.182
than,0.7607607607607607,www.fao.org,1.000
than,0.9728024473017542,www.inst.at,1.000
than,0.8996509598603839,www.krn.org,1.000
than,0.17492012779552715,www.lameca.org,1.000
than,0.8942919995368762,www.luontoportti.com,0.733
than,0.827909942784263,www.nato.int,0.889
than,0.35812034315908214,www.nauticnews.com,0.667
than,0.9301388266905508,www.pawpeds.com,1.000
than,0.7810668087786444,www.prohelvetia.ch,0.714
than,0.8438158051571377,www.socialwatch.org,0.286
than,0.5440414507772021,www.summerlea.ca,1.000
than,0.4019564250778124,www.the-great-adventure.fr,0.111
than,0.964863195378075,www.ushmm.org,0.962
than,0.669378188335861,www.usw.ca,1.000
than,0.6580451127819549,www.vinci.com,1.000
hoa,0.7150420429772657,iiz-dvv.de,0.985074626866
hoa,0.9769499672274415,creationwiki.org,0.909090909091
hoa,0.8224222585924713,minelinks.com,0.969696969697
hoa,0.7810668087786444,www.prohelvetia.ch,0.714285714286
hoa,0.5685306646832105,www.dfo-mpo.gc.ca,1.0
hoa,0.669378188335861,www.usw.ca,0.78313253012
hoa,0.49161126938904715,manchesterproducts.com,0.5
hoa,0.9301388266905508,www.pawpeds.com,0.976744186047
hoa,0.6974730098469569,www.eu2007.de,0.272727272727
hoa,0.5314018043025677,www.acted.org,0.857142857143
hoa,0.5440414507772021,www.summerlea.ca,0.965517241379
hoa,0.4241540256709452,www.bugadacargnel.com,0.571428571429
hoa,0.8661647172508203,eu.blizzard.com,1.0
hoa,0.502262443438914,tsb.gc.ca,0.983050847458
hoa,0.8539696833258292,ironmaidencommentary.com,0.390243902439
hoa,0.35812034315908214,www.nauticnews.com,0.761904761905
hoa,0.17492012779552715,www.lameca.org,1.0
hoa,0.7679897281304081,cineuropa.mobi,0.958904109589
hoa,0.5026572187776793,santabarbara-online.com,1.0
hoa,0.5089467723669309,www.eohu.ca,1.0
hoa,0.4019564250778124,www.the-great-adventure.fr,0.833333333333
hoa,0.9356225321137602,galacticchannelings.com,1.0
hoa,0.964863195378075,www.ushmm.org,0.961538461538
hoa,0.4241540256709452,bugadacargnel.com,0.631578947368
hoa,0.632263356981178,virtualhospice.ca,0.760869565217
hoa,0.4945945945945946,golftrotter.com,1.0
hoa,0.8438158051571377,www.socialwatch.org,0.238095238095
hoa,0.8996509598603839,www.krn.org,0.970149253731
hoa,0.49733851244425265,www.artsvivants.ca,0.75
hoa,0.4931462140992167,kustu.com,1.0
hoa,0.7395918367346939,www.cyberspaceministry.org,1.0
hoa,0.827909942784263,www.nato.int,0.583333333333
hoa,0.6378551420568227,cbsc.ca,1.0
hoa,0.819243013795543,kicktionary.de,1.0
hoa,0.8480954566314823,www.antennas.biz,1.0
hoa,0.6580451127819549,www.vinci.com,1.0
hoa,0.5013547766803601,www.eu2005.lu,0.882352941176
hoa,0.6977418186209395,eu2007.de,0.454545454545
hoa,0.5744934445768772,rehazenter.lu,0.6875
hoa,0.8133333333333334,schackportalen.nu,1.0
hoa,0.724806055584846,www.dakar.com,0.888888888889
hoa,0.9728024473017542,www.inst.at,1.0
hoa,0.929384965831435,pawpeds.com,0.947368421053
hoa,0.7607607607607607,www.fao.org,1.0
hoa,0.8942919995368762,www.luontoportti.com,0.633333333333
hoa,0.8414779499404053,www.bonnke.net,1.0
hoa,0.43971810625225877,www.ec.gc.ca,0.961538461538
hoa,0.44890414576181675,forcesavenir.qc.ca,0.5
hoa,0.8563877816195741,www.cgfmanet.org,1.0
