domain,recallat1,weight
manchesterproducts.com,0.5,0.006157635467980296
www.bugadacargnel.com,0.571428571429,0.004310344827586207
www.nauticnews.com,0.761904761905,0.01293103448275862
www.lameca.org,1.0,0.003694581280788177
www.the-great-adventure.fr,0.833333333333,0.011083743842364532
bugadacargnel.com,0.631578947368,0.011699507389162561
golftrotter.com,1.0,0.0049261083743842365
www.artsvivants.ca,0.75,0.007389162561576354
kustu.com,1.0,0.008004926108374385
www.ec.gc.ca,0.961538461538,0.01600985221674877
forcesavenir.qc.ca,0.5,0.0049261083743842365
cbsc.ca,1.000,0.012315270935960592
cineuropa.mobi,0.945,0.04495073891625616
creationwiki.org,1.000,0.013546798029556651
eu2007.de,0.455,0.0067733990147783255
eu.blizzard.com,1.000,0.006157635467980296
galacticchannelings.com,1.000,0.005541871921182266
iiz-dvv.de,0.985,0.04125615763546798
ironmaidencommentary.com,0.537,0.025246305418719212
kicktionary.de,1.000,0.017857142857142856
minelinks.com,1.000,0.04064039408866995
pawpeds.com,1.000,0.011699507389162561
rehazenter.lu,0.812,0.009852216748768473
santabarbara-online.com,1.000,0.0067733990147783255
schackportalen.nu,1.000,0.008620689655172414
tsb.gc.ca,0.970,0.14532019704433496
virtualhospice.ca,0.717,0.02832512315270936
www.acted.org,0.952,0.01293103448275862
www.antennas.biz,0.933,0.01847290640394089
www.bonnke.net,1.000,0.0166256157635468
www.cgfmanet.org,1.000,0.01539408866995074
www.cyberspaceministry.org,1.000,0.017857142857142856
www.dakar.com,0.911,0.02770935960591133
www.dfo-mpo.gc.ca,0.990,0.05972906403940887
www.eohu.ca,1.000,0.0024630541871921183
www.eu2005.lu,0.000,0.020935960591133004
www.eu2007.de,0.182,0.0067733990147783255
www.fao.org,1.000,0.003694581280788177
www.inst.at,1.000,0.038177339901477834
www.krn.org,1.000,0.04125615763546798
www.luontoportti.com,0.733,0.01847290640394089
www.nato.int,0.889,0.022167487684729065
www.pawpeds.com,1.000,0.02647783251231527
www.prohelvetia.ch,0.714,0.004310344827586207
www.socialwatch.org,0.286,0.01293103448275862
www.summerlea.ca,1.000,0.03571428571428571
www.ushmm.org,0.962,0.01600985221674877
www.usw.ca,1.000,0.05110837438423645
www.vinci.com,1.000,0.014778325123152709
