source_url	top1prediction	correct	translation_missed	top1_score	min_score	en_src_len	en_source_vocab_len	col_len	col_vocab_len
http://bugadacargnel.com/en/pages/artistes.php?name=18492&page=portfolio&categ=54	http://bugadacargnel.com/fr/pages/expositions.php?name=39&page=oeuvrespresentees	True	maybe?	-26267.496	-29158.935816	3274	777	386177	13159
http://bugadacargnel.com/en/pages/expositions.php?name=vanessabeecroft	http://bugadacargnel.com/fr/pages/expositions.php?name=vanessabeecroft	False	maybe?	-3805.566	-4405.431425	503	308	386177	13159
http://bugadacargnel.com/en/pages/artistes.php?name=annikalarsson	http://bugadacargnel.com/fr/pages/expositions.php?name=halukakakce-annikalarsson	True	maybe?	-2319.104	-2663.644332	304	195	386177	13159
http://bugadacargnel.com/en/pages/expositions.php?name=marcoboggiosella-pierogolia-marcellosimeone&page=oeuvrespresentees	http://bugadacargnel.com/fr/pages/expositions.php?name=marcoboggiosella-pierogolia-marcellosimeone&page=oeuvrespresentees	False	maybe?	-6530.100	-7641.312312	865	332	386177	13159
http://bugadacargnel.com/en/pages/expositions.php?name=marcbijl	http://bugadacargnel.com/fr/pages/expositions.php?name=marcbijl	False	maybe?	-4035.628	-4597.819270	496	316	386177	13159
http://bugadacargnel.com/en/pages/artistes.php?name=18492&page=portfolio	http://bugadacargnel.com/fr/pages/artistes.php?name=18492&page=portfolio&categ=85	True	maybe?	-13336.482	-15680.697494	1832	142	386177	13159
http://bugadacargnel.com/en/pages/expositions.php?name=35&page=oeuvrespresentees	http://bugadacargnel.com/fr/pages/expositions.php?name=35&page=oeuvrespresentees	False	maybe?	-7621.860	-8495.636870	947	381	386177	13159
http://bugadacargnel.com/en/pages/artistes.php?name=6564&page=portfolio	http://bugadacargnel.com/fr/pages/artistes.php?name=6564&page=portfolio	False	maybe?	-7966.142	-8851.993345	884	199	386177	13159
http://bugadacargnel.com/en/pages/expositions.php?name=sarahemerson-vidyagastaldon-mariamarshall	http://bugadacargnel.com/fr/pages/expositions.php?name=sarahemerson-vidyagastaldon-mariamarshall	False	maybe?	-8458.475	-9761.837467	1113	583	386177	13159
http://bugadacargnel.com/en/pages/expositions.php?name=40	http://bugadacargnel.com/fr/pages/expositions.php?name=40	False	maybe?	-7382.863	-8340.244070	939	523	386177	13159
http://bugadacargnel.com/en/pages/expositions.php?name=33	http://bugadacargnel.com/fr/pages/expositions.php?name=33&page=communique	True	maybe?	-9922.171	-11157.573350	1265	672	386177	13159
http://bugadacargnel.com/en/pages/expositions.php?name=matcollishaw-jameshopkins-richardwoods&page=oeuvrespresentees	http://bugadacargnel.com/fr/pages/expositions.php?name=matcollishaw-jameshopkins-richardwoods&page=oeuvrespresentees	False	maybe?	-13105.398	-14979.435329	1661	476	386177	13159
http://bugadacargnel.com/en/pages/artistes.php?name=matcollishaw&page=portfolio&categ=32	http://bugadacargnel.com/fr/pages/artistes.php?name=matcollishaw&page=portfolio&categ=32	False	maybe?	-7621.460	-8822.524940	969	179	386177	13159
http://bugadacargnel.com/en/pages/expositions.php?name=24	http://bugadacargnel.com/fr/pages/expositions.php?name=24	False	maybe?	-5018.405	-5705.315565	655	380	386177	13159
http://bugadacargnel.com/en/pages/expositions.php?name=25	http://bugadacargnel.com/fr/pages/expositions.php?name=25&page=communique	True	maybe?	-5145.978	-5918.107038	659	372	386177	13159
http://bugadacargnel.com/en/pages/expositions.php?name=36	http://bugadacargnel.com/fr/pages/expositions.php?name=36&page=communique	True	maybe?	-6820.785	-7967.212030	889	492	386177	13159
http://bugadacargnel.com/en/pages/accueil.php	http://bugadacargnel.com/fr/pages/accueil.php	False	maybe?	-872.666	-1033.383235	112	83	386177	13159
http://bugadacargnel.com/en/pages/expositions.php?name=irisvandongen	http://bugadacargnel.com/fr/pages/expositions.php?name=irisvandongen	False	maybe?	-3677.152	-4276.995742	478	278	386177	13159
http://bugadacargnel.com/en/pages/expositions.php?name=matcollishaw	http://bugadacargnel.com/fr/pages/expositions.php?name=matcollishaw	False	maybe?	-3533.366	-4023.201790	457	290	386177	13159
http://cbsc.ca/english/decisions/2005/050916.php	http://cbsc.ca/francais/decisions/2005/050916.php	False	maybe?	-35955.236	-39100.365786	4521	1436	1601946	21192
http://cbsc.ca/english/decisions/1995/951206b.php	http://cbsc.ca/francais/decisions/1995/951206b.php	False	maybe?	-37455.522	-41061.828836	4561	1493	1601946	21192
http://cbsc.ca/english/decisions/2007/070523.php	http://cbsc.ca/francais/decisions/2007/070523.php	False	maybe?	-46414.493	-50404.562698	5517	1560	1601946	21192
http://cbsc.ca/english/decisions/2007/070412B.php	http://cbsc.ca/francais/decisions/2007/070412B.php	False	maybe?	-74580.521	-80714.791295	8935	2189	1601946	21192
http://cbsc.ca/english/decisions/1999/990623b.php	http://cbsc.ca/francais/decisions/1999/990623b.php	False	maybe?	-27395.938	-30300.121530	3548	1160	1601946	21192
http://cbsc.ca/english/decisions/1999/990528.php	http://cbsc.ca/francais/decisions/1999/990528.php	False	maybe?	-43451.704	-48154.017032	5739	1642	1601946	21192
http://cbsc.ca/english/decisions/2010/101117.php	http://cbsc.ca/francais/decisions/2010/101117.php	False	maybe?	-27690.346	-30442.065424	3427	1265	1601946	21192
http://cbsc.ca/english/decisions/2010/101020.php	http://cbsc.ca/francais/decisions/2010/101020.php	False	maybe?	-36856.164	-39945.361037	4431	1552	1601946	21192
http://cbsc.ca/english/decisions/2010/101223a.php	http://cbsc.ca/francais/decisions/2010/101223a.php	False	maybe?	-54900.354	-58936.813383	6178	2005	1601946	21192
http://cbsc.ca/english/decisions/2010/101215.php	http://cbsc.ca/francais/decisions/2010/101215.php	False	maybe?	-29433.718	-32796.562773	3780	1297	1601946	21192
http://cbsc.ca/english/decisions/2010/101201a.php	http://cbsc.ca/francais/decisions/2010/101201a.php	False	maybe?	-73698.390	-80379.209475	8844	2396	1601946	21192
http://cbsc.ca/english/decisions/2010/101201.php	http://cbsc.ca/francais/decisions/2010/101201.php	False	maybe?	-45755.126	-49276.506024	5270	1592	1601946	21192
http://cbsc.ca/english/decisions/2008/080515.php	http://cbsc.ca/francais/decisions/2008/080515.php	False	maybe?	-62379.998	-67269.231463	7341	2180	1601946	21192
http://cbsc.ca/english/decisions/2008/080812.php	http://cbsc.ca/francais/decisions/2008/080812.php	False	maybe?	-31840.313	-34779.840441	3813	1311	1601946	21192
http://cbsc.ca/english/decisions/1993/931026b.php	http://cbsc.ca/francais/decisions/1993/931026b.php	False	maybe?	-7416.869	-8143.018034	945	456	1601946	21192
http://cbsc.ca/english/decisions/1993/931026.php	http://cbsc.ca/francais/decisions/1993/931026.php	False	maybe?	-13983.175	-15476.717972	1839	720	1601946	21192
http://cbsc.ca/english/documents/prs/2005/050614a.php	http://cbsc.ca/francais/documents/prs/2005/050614a.php	False	maybe?	-7053.174	-7822.920807	919	439	1601946	21192
http://cbsc.ca/english/documents/prs/2010/101215.php	http://cbsc.ca/francais/documents/prs/2010/101215.php	False	maybe?	-7055.816	-7915.411339	952	409	1601946	21192
http://cbsc.ca/english/documents/prs/2010/100818.php	http://cbsc.ca/francais/documents/prs/2010/100818.php	False	maybe?	-7557.808	-8363.893310	975	429	1601946	21192
http://cbsc.ca/english/documents/prs/1998/9805.php	http://cbsc.ca/francais/documents/prs/1998/9805.php	False	maybe?	-10662.800	-12003.557288	1442	535	1601946	21192
http://cineuropa.mobi/interview.aspx?lang=en&documentID=65143	http://cineuropa.mobi/interview.aspx?lang=fr&documentID=65143	False	maybe?	-6534.658	-7479.008647	839	413	4186773	49580
http://cineuropa.mobi/interview.aspx?lang=en&documentID=56673	http://cineuropa.mobi/interview.aspx?lang=fr&documentID=56673	False	maybe?	-8041.100	-9209.450635	1019	511	4186773	49580
