==============Loading domain:  bugadacargnel.com
---Loading completed
---------- http://bugadacargnel.com/en/pages/artistes.php?name=18492&page=portfolio&categ=54
---gold(rank=1, score=-26282.120):http://bugadacargnel.com/fr/pages/artistes.php?name=18492&page=portfolio&categ=54
-26269.054:	http://bugadacargnel.com/fr/pages/expositions.php?name=39&page=oeuvrespresentees
-26282.120:	http://bugadacargnel.com/fr/pages/artistes.php?name=18492&page=portfolio&categ=54
-27254.937:	http://bugadacargnel.com/fr/pages/expositions.php?name=39
-27254.937:	http://bugadacargnel.com/fr/pages/expositions.php?name=39&page=communique
-27458.192:	http://bugadacargnel.com/fr/pages/artistes.php?name=18492
-27458.192:	http://bugadacargnel.com/fr/pages/artistes.php?name=18492&page=presentation
-27500.474:	http://bugadacargnel.com/fr/pages/artistes.php?name=18492&page=portfolio&categ=3
-27753.129:	http://bugadacargnel.com/fr/pages/expositions.php?name=40
-27753.129:	http://bugadacargnel.com/fr/pages/expositions.php?name=40&page=communique
-27777.223:	http://bugadacargnel.com/fr/pages/artistes.php?name=6564&page=portfolio&categ=4
-27784.455:	http://bugadacargnel.com/fr/pages/expositions.php?name=laetitiabenat-pierrebismuth
-27784.455:	http://bugadacargnel.com/fr/pages/expositions.php?name=laetitiabenat-pierrebismuth&page=communique
-27786.226:	http://bugadacargnel.com/fr/pages/artistes.php?name=21687&page=portfolio&categ=4
-27788.540:	http://bugadacargnel.com/fr/pages/artistes.php?name=71159&page=portfolio&categ=129
-27803.341:	http://bugadacargnel.com/fr/pages/expositions.php?name=30
---------- http://bugadacargnel.com/en/pages/expositions.php?name=vanessabeecroft
---gold(rank=0, score=-3805.829):http://bugadacargnel.com/fr/pages/expositions.php?name=vanessabeecroft
-3805.829:	http://bugadacargnel.com/fr/pages/expositions.php?name=vanessabeecroft
-3805.829:	http://bugadacargnel.com/fr/pages/expositions.php?name=vanessabeecroft&page=communique
-4013.980:	http://bugadacargnel.com/fr/pages/expositions.php?name=vanessabeecroft&page=oeuvrespresentees
-4158.623:	http://bugadacargnel.com/fr/pages/expositions.php?name=tobiasbernstrup-miltosmanetas
-4158.623:	http://bugadacargnel.com/fr/pages/expositions.php?name=tobiasbernstrup-miltosmanetas&page=communique
-4164.702:	http://bugadacargnel.com/fr/pages/expositions.php?name=marcoboggiosella-pierogolia-marcellosimeone
-4164.702:	http://bugadacargnel.com/fr/pages/expositions.php?name=marcoboggiosella-pierogolia-marcellosimeone&page=communique
-4168.432:	http://bugadacargnel.com/fr/pages/expositions.php?name=laetitiabenat-pierrebismuth
-4168.432:	http://bugadacargnel.com/fr/pages/expositions.php?name=laetitiabenat-pierrebismuth&page=communique
-4175.778:	http://bugadacargnel.com/fr/pages/expositions.php?name=matcollishaw&page=communique
-4175.778:	http://bugadacargnel.com/fr/pages/expositions.php?name=matcollishaw
-4177.938:	http://bugadacargnel.com/fr/pages/expositions.php?name=59&page=communique
-4177.938:	http://bugadacargnel.com/fr/pages/expositions.php?name=59
-4179.097:	http://bugadacargnel.com/fr/pages/expositions.php?name=halukakakce-annikalarsson&page=communique
-4179.097:	http://bugadacargnel.com/fr/pages/expositions.php?name=halukakakce-annikalarsson
---------- http://bugadacargnel.com/en/pages/artistes.php?name=annikalarsson
---gold(rank=11, score=-2518.919):http://bugadacargnel.com/fr/pages/artistes.php?name=annikalarsson
-2319.287:	http://bugadacargnel.com/fr/pages/expositions.php?name=halukakakce-annikalarsson
